UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Gostaria de receber UMA mensagem dos patrocinadores por email?,Possui alguma necessidade especial?,Tamanho da Camisa,Você concorda com o Código de Conduta da Python Nordeste 2019? https://2019.pythonnordeste.org/cdc.html
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Não respondeu,Não respondeu
PE,Jaboatão dos Guararapes,Brasil,TESTe,Doutorado,Ciências Agrárias,Agronomia,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,não,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DA PARAÍBA,Graduação,Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DA PARAÍBA,Mestrado,Ciências Humanas,Antropologia,29/04/2019 20:28:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não.,GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,06/06/2019 13:34:00,Cortesia,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Nao,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 15:30:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Meia-entrada,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:37:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 17:46:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 15:32:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Masculina G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Masculina G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/06/2019 10:37:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,25/04/2019 18:43:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,17/06/2019 19:41:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 15:31:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,30/04/2019 11:12:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,Mestrado,Ciências Exatas e da Terra,Ciência da Computação,25/04/2019 17:36:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
SP,São Paulo,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Engenharias,Engenharia de Produção,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Jaboatão dos Guararapes,Brasil,FACULDADE DOS GUARARAPES,Ensino Médio (2° grau),Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,"não necessariamente uma necessidade especial, mas na hora dos lanches seria legal ter opções veganas :)",M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,06/05/2019 18:22:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Faculdade Estácio do Ceará - Estácio FIC,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,ETE miguel batista,Ensino Médio (2° grau),Outra,Outra,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/04/2019 18:47:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,12/04/2019 21:54:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PB,João Pessoa,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Ciências Humanas,Design,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
CE,Fortaleza,Brasil,UFC,Não respondeu,Não respondeu,Não respondeu,10/05/2019 15:36:00,Social,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PB,João Pessoa,Brasil,"IFPB - INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA  DA PARAIBA/CAMPUS JOÃO PESSOA",Ensino Médio (2° grau),Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:40:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PB,João Pessoa,Brasil,FAMENE,Graduação,Ciências da Saúde,Farmácia,12/04/2019 21:28:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,UNINOVAFAPI,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 15:32:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/04/2019 09:46:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,"IFPB - INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA  DA PARAIBA/CAMPUS JOÃO PESSOA",Não respondeu,Não respondeu,Não respondeu,13/04/2019 20:22:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/05/2019 14:54:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,22/04/2019 07:43:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Doutorado,Ciências Exatas e da Terra,Ciência da Computação,10/05/2019 14:07:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Outra,Outra,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Masculina M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,GG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/04/2019 15:30:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Masculina M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,22/05/2019 14:27:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Ciências Exatas e da Terra,Ciência da Computação,17/06/2019 19:42:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,13/04/2019 09:19:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não,PP,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/06/2019 10:31:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,12/04/2019 20:20:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Universidade Católica de Pernambuco,Doutorado,Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Paulista,Brasil,Não Respondeu,Especialista/Pós-graduado,Outra,Outra,13/05/2019 14:17:00,Social,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,10/06/2019 10:32:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
SP,São Paulo,Brasil,Não respondeu,Não respondeu,Não respondeu,Não respondeu,15/04/2019 11:50:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PI,Parnaíba,Brasil,UNINASSAU- mauricio de nassau,Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",Ensino Médio (2° grau),Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PB,João Pessoa,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",Graduação,Ciências Exatas e da Terra,Ciência da Computação,12/04/2019 21:55:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,"IFPB - INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA  DA PARAIBA/CAMPUS JOÃO PESSOA",Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,Masculina P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Unifbv,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/06/2019 14:47:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,28/04/2019 07:16:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNINABUCO - UNIVERSIDADE JOAQUIM NABUCO RECIFE,Graduação,Engenharias,Engenharia de Energia,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não,Não respondeu,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,16/04/2019 19:32:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,"Possuo deficiência física, mas nada que necessite de ajuda específica",M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",Não respondeu,Não respondeu,Não respondeu,12/04/2019 20:59:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não,Não respondeu,XGG,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UFRPE - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO - RECIFE,Graduação,Não respondeu,Não respondeu,15/04/2019 10:24:00,Meia-entrada,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,FACULDADE MAURÍCIO DE NASSAU,Graduação,Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,Graduação,Ciências Exatas e da Terra,Ciência da Computação,12/04/2019 21:06:00,Inteira,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Graduação,Ciências Humanas,Design,22/05/2019 14:52:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PB,Cabedelo,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:39:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Graduação,Ciências Exatas e da Terra,Ciência da Computação,13/04/2019 00:05:00,Social,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não,M,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2019 19:39:00,Patrocinador,Aprovado,não,Não credenciado,Não credenciado,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,27/04/2019 15:06:00,Inteira + Ingresso Solidário,Aprovado,não,Não credenciado,Não credenciado,não,sim,Sim,Não respondeu,P,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
PE,Recife,Brasil,UNICAP - UNIVERSIDADE CATÓLICA DE PERNAMBUCO (UNICAP),Graduação,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PE,Recife,Brasil,INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR,Graduação,Ciências Exatas e da Terra,Ciência da Computação,Não respondeu,Não respondeu,Pendente,não,Não credenciado,Não credenciado,não,não,Sim,Não respondeu,G,"Sim, concordo e respeitarei o Código de Conduta da Python Nordeste 2019"
